1	chr1
HSCHR17_8_CTG4	NT_187615.1
HSCHR17_9_CTG4	NT_187616.1
HSCHR18_3_CTG2_1	NT_187617.1
HSCHR18_4_CTG1_1	NT_187618.1
HSCHR19_2_CTG3_1	NT_187619.1
HSCHR19_3_CTG3_1	NT_187620.1
HSCHR19_4_CTG2	NT_187621.1
HSCHR19_5_CTG2	NT_187622.1
HSCHR20_1_CTG2	NT_187623.1
HSCHR20_1_CTG3	NT_187624.1
HSCHR20_1_CTG4	NT_187625.1
HSCHR21_5_CTG2	NT_187626.1
HSCHR21_6_CTG1_1	NT_187627.1
HSCHR21_8_CTG1_1	NT_187628.1
HSCHR22_1_CTG3	NT_187629.1
HSCHR22_1_CTG4	NT_187630.1
HSCHR22_1_CTG5	NT_187631.1
HSCHR22_1_CTG6	NT_187632.1
HSCHR22_1_CTG7	NT_187633.1
HSCHRX_1_CTG3	NT_187634.1
HSCHRX_2_CTG12	NT_187635.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	NT_187636.1
HSCHR19KIR_G085_A_HAP_CTG3_1	NT_187637.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	NT_187638.1
HSCHR19KIR_G248_A_HAP_CTG3_1	NT_187639.1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	NT_187640.1
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	NT_187641.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	NT_187642.1
HSCHR19KIR_LUCE_A_HAP_CTG3_1	NT_187643.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	NT_187644.1
HSCHR19KIR_RSH_A_HAP_CTG3_1	NT_187645.1
HSCHR1_ALT2_1_CTG32_1	NT_187646.1
HSCHR2_2_CTG15	NT_187647.1
HSCHR2_2_CTG7	NT_187648.1
HSCHR3_3_CTG3	NT_187649.1
HSCHR4_6_CTG12	NT_187650.1
HSCHR5_1_CTG1_1	NT_187651.1
HSCHR5_3_CTG5	NT_187652.1
HSCHR7_2_CTG1	NT_187653.1
HSCHR8_5_CTG1	NT_187654.1
HSCHR8_6_CTG1	NT_187655.1
HSCHR11_2_CTG1	NT_187656.1
HSCHR11_2_CTG1_1	NT_187657.1
HSCHR12_3_CTG2	NT_187658.1
HSCHR15_2_CTG3	NT_187659.1
HSCHR15_4_CTG8	NT_187660.1
HSCHR17_10_CTG4	NT_187661.1
HSCHR17_2_CTG1	NT_187662.1
HSCHR17_2_CTG5	NT_187663.1
HSCHR17_3_CTG2	NT_187664.1
HSCHR18_ALT21_CTG2_1	NT_187665.1
HSCHR18_ALT2_CTG2_1	NT_187666.1
HSCHRX_2_CTG3	NT_187667.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	NT_187668.1
HSCHR19KIR_T7526_A_HAP_CTG3_1	NT_187669.1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	NT_187670.1
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	NT_187671.1
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	NT_187672.1
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	NT_187673.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	NT_187674.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	NT_187675.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	NT_187676.1
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	NT_187677.1
HSCHR3_4_CTG3	NT_187678.1
HSCHR4_7_CTG12	NT_187679.1
HSCHR8_7_CTG1	NT_187680.1
HSCHR11_3_CTG1	NT_187681.1
HSCHR22_3_CTG1	NT_187682.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	NT_187683.1
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	NT_187684.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	NT_187685.1
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	NT_187686.1
HSCHR19KIR_FH15_A_HAP_CTG3_1	NT_187687.1
HSCHR3_5_CTG3	NT_187688.1
HSCHR3_6_CTG3	NT_187689.1
HSCHR3_7_CTG3	NT_187690.1
HSCHR3_8_CTG3	NT_187691.1
HSCHR6_8_CTG1	NT_187692.1
HSCHR19_4_CTG3_1	NT_187693.1
HSCHR1_1_CTG31	NW_003315905.1
HSCHR1_2_CTG31	NW_003315906.1
HSCHR1_3_CTG31	NW_003315907.2
HSCHR2_1_CTG5	NW_003315908.1
HSCHR2_1_CTG7_2	NW_003315909.1
HSCHR3_1_CTG2_1	NW_003315913.1
HSCHR4_1_CTG12	NW_003315914.1
HSCHR4_1_CTG6	NW_003315915.1
HSCHR5_2_CTG1_1	NW_003315917.2
HSCHR5_3_CTG1_1	NW_003315918.1
HSCHR5_1_CTG5	NW_003315919.1
HSCHR5_1_CTG1	NW_003315920.1
HSCHR6_1_CTG2	NW_003315921.1
HSCHR7_1_CTG6	NW_003315922.2
HSCHR9_1_CTG1	NW_003315928.1
HSCHR9_1_CTG2	NW_003315929.1
HSCHR9_1_CTG3	NW_003315930.1
HSCHR9_1_CTG4	NW_003315931.1
HSCHR10_1_CTG1	NW_003315934.1
HSCHR10_1_CTG2	NW_003315935.1
HSCHR11_1_CTG1_1	NW_003315936.1
HSCHR12_1_CTG2	NW_003315938.1
HSCHR12_1_CTG2_1	NW_003315939.2
HSCHR12_4_CTG2_1	NW_003315940.1
HSCHR12_2_CTG2_1	NW_003315941.1
HSCHR12_3_CTG2_1	NW_003315942.2
HSCHR15_1_CTG8	NW_003315943.1
HSCHR15_2_CTG8	NW_003315944.2
HSCHR16_1_CTG3_1	NW_003315945.1
HSCHR16_2_CTG3_1	NW_003315946.1
HSCHR17_1_CTG1	NW_003315952.3
HSCHR17_1_CTG4	NW_003315953.2
HSCHR17_2_CTG4	NW_003315954.1
HSCHR17_3_CTG4	NW_003315955.1
HSCHR18_1_CTG1_1	NW_003315956.1
HSCHR18_1_CTG2	NW_003315957.1
HSCHR18_1_CTG2_1	NW_003315958.1
HSCHR18_2_CTG1_1	NW_003315959.1
HSCHR18_2_CTG2	NW_003315960.1
HSCHR18_2_CTG2_1	NW_003315961.1
HSCHR19_1_CTG2	NW_003315962.1
HSCHR19_1_CTG3_1	NW_003315963.1
HSCHR19_2_CTG2	NW_003315964.2
HSCHR19_3_CTG2	NW_003315965.1
HSCHR20_1_CTG1	NW_003315966.2
HSCHR21_1_CTG1_1	NW_003315967.2
HSCHR21_2_CTG1_1	NW_003315968.2
HSCHR21_3_CTG1_1	NW_003315969.2
HSCHR21_4_CTG1_1	NW_003315970.2
HSCHR22_1_CTG1	NW_003315971.2
HSCHR22_1_CTG2	NW_003315972.2
HSCHR2_2_CTG7_2	NW_003571033.2
HSCHR5_2_CTG1	NW_003571036.1
HSCHR12_1_CTG1	NW_003571049.1
HSCHR12_2_CTG2	NW_003571050.1
HSCHR19LRC_COX1_CTG3_1	NW_003571054.1
HSCHR19LRC_COX2_CTG3_1	NW_003571055.2
HSCHR19LRC_LRC_I_CTG3_1	NW_003571056.2
HSCHR19LRC_LRC_J_CTG3_1	NW_003571057.2
HSCHR19LRC_LRC_S_CTG3_1	NW_003571058.2
HSCHR19LRC_LRC_T_CTG3_1	NW_003571059.2
HSCHR19LRC_PGF1_CTG3_1	NW_003571060.1
HSCHR19LRC_PGF2_CTG3_1	NW_003571061.2
HSCHR3_1_CTG1	NW_003871060.2
HG142_HG150_NOVEL_TEST	NW_003871073.1
HG151_NOVEL_TEST	NW_003871074.1
HSCHR17_4_CTG4	NW_003871091.1
HSCHR17_5_CTG4	NW_003871092.1
HSCHR17_6_CTG4	NW_003871093.1
HSCHR6_1_CTG3	NW_004166862.2
HSCHR22_2_CTG1	NW_004504305.1
HG986_PATCH	NW_009646194.1
HG2058_PATCH	NW_009646195.1
HG2104_PATCH	NW_009646196.1
HG2066_PATCH	NW_009646197.1
HG2022_PATCH	NW_009646198.1
HSCHR5_7_CTG1	NW_009646199.1
HG2128_PATCH	NW_009646200.1
HG2030_PATCH	NW_009646201.1
HG2191_PATCH	NW_009646202.1
HG2217_PATCH	NW_009646203.1
HG23_PATCH	NW_009646204.1
HG2216_PATCH	NW_009646205.1
HG2021_PATCH	NW_009646206.1
HSCHR22_4_CTG1	NW_009646207.1
HSCHR22_5_CTG1	NW_009646208.1
HG2062_PATCH	NW_009646209.1
HG1832_PATCH	NW_011332687.1
HG2095_PATCH	NW_011332688.1
HG2233_PATCH	NW_011332689.1
HG2232_PATCH	NW_011332690.1
HG126_PATCH	NW_011332691.1
HG2241_PATCH	NW_011332692.1
HG2242_HG2243_PATCH	NW_011332693.1
HG2244_HG2245_PATCH	NW_011332694.1
HSCHR11_1_CTG1_2	NW_011332695.1
HG1362_PATCH	NW_011332696.1
HG2247_PATCH	NW_011332697.1
HG2288_HG2289_PATCH	NW_011332698.1
HG2291_PATCH	NW_011332699.1
HG2249_PATCH	NW_011332700.1
HG1342_HG2282_PATCH	NW_012132914.1
HG2290_PATCH	NW_012132915.1
HG2235_PATCH	NW_012132916.1
HG2237_PATCH	NW_012132917.1
HG1651_PATCH	NW_012132918.1
HG2239_PATCH	NW_012132919.1
HSCHR15_6_CTG8	NW_012132920.1
HSCHR16_3_CTG3_1	NW_012132921.1
HSCHR4_2_CTG4	NW_013171799.1
HSCHR4_8_CTG12	NW_013171800.1
HSCHR4_9_CTG12	NW_013171801.1
HG2072_PATCH	NW_013171802.1
HSCHR6_1_CTG10	NW_013171803.1
HSCHR9_1_CTG6	NW_013171804.1
HSCHR9_1_CTG7	NW_013171805.1
HSCHR10_1_CTG6	NW_013171806.1
HG2334_PATCH	NW_013171807.1
HG2116_PATCH	NW_013171808.1
HSCHR12_2_CTG1	NW_013171809.1
HSCHR13_1_CTG7	NW_013171810.1
HSCHR13_1_CTG8	NW_013171811.1
HSCHR16_5_CTG1	NW_013171812.1
HSCHR16_4_CTG3_1	NW_013171813.1
HG2213_PATCH	NW_013171814.1
HSCHR1_3_CTG3	NW_014040925.1
HSCHR1_4_CTG3	NW_014040926.1
HSCHR1_5_CTG32_1	NW_014040927.1
HSCHR18_5_CTG1_1	NW_014040928.1
HG26_PATCH	NW_014040929.1
HSCHR22_6_CTG1	NW_014040930.1
HSCHR22_7_CTG1	NW_014040931.1
HG107_PATCH	NW_015148966.1
HG2063_PATCH	NW_015148967.1
HSCHR22_8_CTG1	NW_015148968.1
HG1311_PATCH	NW_015148969.1
HSCHR1_5_CTG3	NW_015495298.1
HSCHR2_6_CTG7_2	NW_015495299.1
HG2023_PATCH	NW_015495300.1
HSCHR4_11_CTG12	NW_015495301.1
